Geographic area,State population (in thousands),Elementary-secondary enrollment
United States,318857000,48349251
Alabama,4849000,740081
Alaska,737000,130539
Arizona,6731000,943937
Arkansas,2966000,479881
California,38803000,6224685
Colorado,5356000,865231
Connecticut,3597000,511082
Delaware,936000,120623
District of Columbia,659000,44942
Florida,19893000,2708022
Georgia,10097000,1699185
Hawaii,1420000,186825
Idaho,1634000,281452
Illinois,12881000,2060632
Indiana,6597000,1007121
Iowa,3107000,501763
Kansas,2904000,468630
Kentucky,4413000,686938
Louisiana,4650000,665441
Maine,1330000,178709
Maryland,5976000,865768
Massachusetts,6745000,920558
Michigan,9910000,1363533
Minnesota,5457000,804580
Mississippi,2994000,492421
Missouri,6064000,892992
Montana,1024000,144034
Nebraska,1882000,307398
Nevada,2839000,435765
New Hampshire,1327000,184684
New Jersey,8938000,1333804
New Mexico,2086000,326637
New York,19746000,2618542
North Carolina,9944000,1441391
North Dakota,739000,103272
Ohio,11594000,1601566
Oklahoma,3878000,670069
Oregon,3970000,566538
Pennsylvania,12787000,1605292
Rhode Island,1055000,135084
South Carolina,4832000,729386
South Dakota,853000,130653
Tennessee,6549000,992583
Texas,26957000,4949469
Utah,2943000,570423
Vermont,627000,87990
Virginia,8326000,1273211
Washington,7062000,1057773
West Virginia,1850000,280265
Wisconsin,5758000,865119
Wyoming,584000,92732
