Geographic area,2014 PPCS,(13-14) Percentage change1,2013 PPCS,(12-13) Percentage change1,2012 PPCS,(11-12) Percentage change1,2011 PPCS,(10 -11) Percentage change1,2010 PPCS,(09-10) Percentage change1,2009 PPCS
United States,11009,2.7,10724,1.1,10608,0,10608,0.1,10600,1,10499
Alabama,9028,3.1,8755,2.3,8562,-2.8,8813,-0.8,8881,0.1,8870
Alaska,18416,1.3,18175,4.5,17390,4.3,16674,5.6,15783,1.5,15552
Arizona,7528,4.4,7208,-4.6,7559,-1.4,7666,-2.3,7848,0.4,7813
Arkansas,9616,2.4,9394,-0.2,9411,0.6,9353,2.3,9143,5,8712
California,9595,4.1,9220,0.4,9183,0.4,9149,-2.4,9375,-2.9,9657
Colorado,8985,3.9,8647,1.2,8548,-2,8724,-1.5,8853,1.5,8718
Connecticut,17745,6.7,16631,2.2,16274,4.2,15617,4.8,14906,2.6,14531
Delaware,13938,0.8,13833,-0.2,13865,9.3,12685,2.4,12383,1,12257
District of Columbia,18485,-3.1,19076,9.2,17468,-5.4,18475,-1,18667,13.8,16408
Florida,8755,3.8,8433,0.7,8372,-5.8,8887,1.7,8741,-0.2,8760
Georgia,9202,1.1,9099,-1.6,9247,-0.1,9253,-1.5,9394,-2.7,9650
Hawaii,12458,5.4,11823,-1.9,12054,0.4,12004,2.1,11754,-5.2,12399
Idaho,6621,-2.5,6791,2,6659,-2.4,6824,-4,7106,0.2,7092
Illinois,13077,6.4,12287,2.3,12015,1.5,11834,1.7,11634,7.4,10835
Indiana,9548,-0.2,9566,-1.6,9719,3.7,9372,-2.5,9611,2.6,9369
Iowa,10668,3.4,10313,2.7,10038,2.4,9807,0.4,9763,0.6,9707
Kansas,9972,1.5,9828,0.8,9748,2.6,9498,-2.2,9715,-2.4,9951
Kentucky,9312,0,9316,-0.8,9391,0.9,9309,4,8948,2.2,8756
Louisiana,10749,2.5,10490,-7.8,11379,6.1,10723,0.8,10638,1,10533
Maine,12707,4.6,12147,-0.3,12189,-3.5,12630,3,12259,-0.4,12304
Maryland,14003,1.3,13829,1.6,13609,-1.9,13871,1,13738,2.1,13449
Massachusetts,15087,3.7,14545,2.8,14142,1.4,13941,2.6,13590,-3.7,14118
Michigan,11110,1.5,10948,0.9,10855,0.3,10823,1.7,10644,1.5,10483
Minnesota,11464,3.4,11089,2.7,10796,0.8,10712,0.3,10685,-3.7,11098
Mississippi,8263,1.6,8130,-0.4,8164,3,7928,-2.4,8119,0.5,8075
Missouri,9875,2.9,9597,1.7,9436,0.3,9410,-2.3,9634,1.1,9529
Montana,11017,3.7,10625,1.5,10464,-1.6,10639,1.4,10497,4.4,10059
Nebraska,11726,1.3,11579,2.7,11275,4.2,10825,0.8,10734,6.9,10045
Nevada,8414,0.9,8339,1.4,8223,-3.6,8527,0.5,8483,0.7,8422
New Hampshire,14335,4.5,13721,0.9,13593,2.8,13224,6.8,12383,3.8,11932
New Jersey,17907,-1.8,18228,5.6,17266,8.1,15968,-5.2,16841,3.5,16271
New Mexico,9734,8,9012,1.3,8899,-1.9,9070,-3.3,9384,-0.6,9439
New York,20610,4,19818,1.4,19552,2.5,19076,2.5,18618,2.7,18126
North Carolina,8512,1.4,8390,2.3,8200,-1.3,8312,-1.1,8409,-2.1,8587
North Dakota,12358,3.2,11980,2.6,11679,2.3,11420,3.9,10991,8.3,10151
Ohio,11354,1.8,11148,-0.5,11204,-0.2,11223,1.7,11030,4.5,10560
Oklahoma,7829,2,7672,2.8,7466,-1.6,7587,-3.9,7896,0.1,7885
Oregon,9945,4.2,9543,0.6,9490,-2,9682,0.6,9624,-1.9,9805
Pennsylvania,13961,0.7,13864,3.9,13340,-0.9,13467,3.6,12995,3.9,12512
Rhode Island,14767,2.4,14415,2.9,14005,1.4,13815,0.9,13699,-0.1,13707
South Carolina,9732,2.3,9514,4,9147,1.8,8986,-1.7,9143,-1.5,9277
South Dakota,8881,4.9,8470,0.3,8446,-4.1,8805,-0.6,8858,4.1,8507
Tennessee,8630,1.6,8496,2.4,8294,2.6,8088,0.3,8065,2.1,7897
Texas,8593,3.5,8299,0.5,8261,-4.7,8671,-0.9,8746,2.4,8540
Utah,6500,-0.8,6555,5.6,6206,-0.1,6212,2.4,6064,-4.6,6356
Vermont,16988,3.5,16419,2.4,16040,0.4,15980,4.6,15274,0.6,15175
Virginia,10973,0.1,10960,2.9,10656,2.8,10364,-2.2,10597,-3,10930
Washington,10202,5.5,9672,0.4,9637,1.6,9483,0.3,9452,-1,9550
West Virginia,11260,1.2,11132,-2.7,11445,-3.4,11846,2.8,11527,11.2,10367
Wisconsin,11186,1,11071,0.3,11042,-6.2,11774,3.6,11364,2.6,11078
Wyoming,15797,0.6,15700,-1.2,15897,0.3,15849,4.5,15169,4.1,14573
