Geographical Area,Total Revenue (in thousands),From Federal Sources (in thousands),From State Sources (in thousands),From Local Sources (in thousands),Total Spending (in thousands),Current Spending (in thousands),Capital Outlay (in thousands),Other (in thousands)
United States....................................................................................................,"617,633,773","52,882,083","288,584,445","276,167,245","613,637,958","546,667,764","47,558,109","19,412,085"
Alabama............................................................................................................,"7,355,547","794,090","4,031,547","2,529,910","7,578,390","6,802,467","580,934","194,989"
Alaska...............................................................................................................,"2,554,814","309,525","1,715,699","529,590","2,727,056","2,415,614","269,107","42,335"
Arizona...............................................................................................................,"8,293,591","1,102,980","3,182,285","4,008,326","8,101,041","7,221,984","678,228","200,829"
Arkansas............................................................................................................,"5,175,529","552,738","4,006,889","615,902","5,205,338","4,645,874","424,314","135,150"
California............................................................................................................,"69,857,908","7,415,061","38,410,554","24,032,293","69,336,590","60,715,787","6,124,103","2,496,700"
Colorado.............................................................................................................,"9,117,534","681,230","3,961,719","4,474,585","9,240,796","7,847,152","932,776","460,868"
Connecticut........................................................................................................,"10,516,316","420,593","4,141,590","5,954,133","9,932,659","9,361,449","447,290","123,920"
Delaware............................................................................................................,"1,902,776","133,055","1,137,764","631,957","1,930,195","1,736,678","171,618","21,899"
District of Columbia..............................................................................................,"1,342,220","134,959",0,"1,207,261","1,313,289","913,724","399,565",0
Florida................................................................................................................,"26,072,680","3,112,027","10,460,928","12,499,725","26,523,658","24,279,963","1,468,023","775,672"
Georgia..............................................................................................................,"17,817,933","1,804,212","7,837,335","8,176,386","17,658,341","15,800,788","1,642,099","215,454"
Hawaii...............................................................................................................,"2,696,665","286,988","2,354,601","55,076","2,515,036","2,341,836","173,200",0
Idaho..................................................................................................................,"2,084,312","232,593","1,319,582","532,137","2,012,852","1,868,338","91,323","53,191"
Illinois................................................................................................................,"30,407,109","2,301,827","11,163,462","16,941,820","30,199,722","27,313,867","1,999,969","885,886"
Indiana...............................................................................................................,"12,149,675","933,891","7,632,238","3,583,546","10,892,114","9,680,499","889,924","321,691"
Iowa..................................................................................................................,"6,194,941","455,586","3,247,115","2,492,240","6,296,234","5,380,362","801,317","114,555"
Kansas..............................................................................................................,"5,483,708","402,250","3,146,977","1,934,481","5,647,063","4,679,876","771,566","195,621"
Kentucky............................................................................................................,"7,228,770","825,742","3,966,872","2,436,156","7,344,521","6,459,529","620,745","264,247"
Louisiana............................................................................................................,"8,323,024","1,272,004","3,455,315","3,595,705","7,985,369","7,166,563","706,668","112,138"
Maine.................................................................................................................,"2,609,930","182,961","1,032,280","1,394,689","2,474,551","2,366,014","66,571","41,966"
Maryland............................................................................................................,"13,978,426","816,033","6,186,736","6,975,657","13,450,813","12,146,895","1,131,199","172,719"
Massachusetts....................................................................................................,"16,474,364","791,029","6,587,492","9,095,843","16,133,044","14,864,764","1,028,761","239,519"
Michigan............................................................................................................,"17,529,062","1,563,397","10,073,758","5,891,907","17,098,757","15,425,529","856,907","816,321"
Minnesota..........................................................................................................,"11,017,479","630,445","7,603,409","2,783,625","11,127,875","9,670,430","1,069,928","387,517"
