Row Labels,
AK,
Sum of african american,51944
Sum of pacific islander,50250
Sum of american indian,45997
Sum of asian american,64466
Sum of white,80056
Sum of hispanic,60540
AL,
Sum of african american,29180
Sum of pacific islander,54145
Sum of american indian,44856
Sum of asian american,55775
Sum of white,50760
Sum of hispanic,33984
AR,
Sum of african american,26731
Sum of pacific islander,31405
Sum of american indian,34888
Sum of asian american,59872
Sum of white,45346
Sum of hispanic,34589
AZ,
Sum of african american,39483
Sum of pacific islander,47056
Sum of american indian,31593
Sum of asian american,66274
Sum of white,55800
Sum of hispanic,39020
CA,
Sum of african american,43087
Sum of pacific islander,60717
Sum of american indian,45490
Sum of asian american,79260
Sum of white,72741
Sum of hispanic,47393
CO,
Sum of african american,42150
Sum of pacific islander,56099
Sum of american indian,40458
Sum of asian american,66237
Sum of white,66208
Sum of hispanic,42774
CT,
Sum of african american,42917
Sum of pacific islander,51071
Sum of american indian,43867
Sum of asian american,89755
Sum of white,79565
Sum of hispanic,40059
DC,
Sum of african american,40677
Sum of pacific islander,
Sum of american indian,61985
Sum of asian american,83064
Sum of white,119934
Sum of hispanic,61087
DE,
Sum of african american,47242
Sum of pacific islander,
Sum of american indian,39663
Sum of asian american,88009
Sum of white,65434
Sum of hispanic,45698
FL,
Sum of african american,34664
Sum of pacific islander,49170
Sum of american indian,39723
Sum of asian american,61880
Sum of white,52510
Sum of hispanic,40851
GA,
Sum of african american,36655
Sum of pacific islander,35595
Sum of american indian,37373
Sum of asian american,65611
Sum of white,57966
Sum of hispanic,38784
HI,
Sum of african american,62115
Sum of pacific islander,57492
Sum of american indian,44688
Sum of asian american,74800
Sum of white,69834
Sum of hispanic,56637
IA,
Sum of african american,28670
Sum of pacific islander,49375
Sum of american indian,28342
Sum of asian american,56976
Sum of white,54717
Sum of hispanic,40387
ID,
Sum of african american,37928
Sum of pacific islander,29931
Sum of american indian,35663
Sum of asian american,55525
Sum of white,49061
Sum of hispanic,38085
IL,
Sum of african american,33730
Sum of pacific islander,59615
Sum of american indian,41280
Sum of asian american,76810
Sum of white,64353
Sum of hispanic,47082
IN,
Sum of african american,30349
Sum of pacific islander,33456
Sum of american indian,35439
Sum of asian american,54246
Sum of white,52006
Sum of hispanic,39712
KS,
Sum of african american,33677
Sum of pacific islander,61250
Sum of american indian,40660
Sum of asian american,59365
Sum of white,55420
Sum of hispanic,40117
KY,
Sum of african american,29358
Sum of pacific islander,36290
Sum of american indian,30729
Sum of asian american,62948
Sum of white,45475
Sum of hispanic,35672
LA,
Sum of african american,27756
Sum of pacific islander,60577
Sum of american indian,41029
Sum of asian american,54313
Sum of white,55479
Sum of hispanic,42637
MA,
Sum of african american,42959
Sum of pacific islander,80658
Sum of american indian,38286
Sum of asian american,78996
Sum of white,74905
Sum of hispanic,36171
MD,
Sum of african american,59021
Sum of pacific islander,66786
Sum of american indian,53949
Sum of asian american,93936
Sum of white,84120
Sum of hispanic,62463
ME,
Sum of african american,23453
Sum of pacific islander,
Sum of american indian,28452
Sum of asian american,51657
Sum of white,49915
Sum of hispanic,41535
MI,
Sum of african american,29678
Sum of pacific islander,47201
Sum of american indian,38034
Sum of asian american,74517
Sum of white,53303
Sum of hispanic,39571
MN,
Sum of african american,30314
Sum of pacific islander,47619
Sum of american indian,33444
Sum of asian american,66780
Sum of white,64485
Sum of hispanic,42227
MO,
Sum of african american,31977
Sum of pacific islander,42088
Sum of american indian,36376
Sum of asian american,60908
Sum of white,51135
Sum of hispanic,38712
MS,
Sum of african american,26549
Sum of pacific islander,
Sum of american indian,32240
Sum of asian american,52727
Sum of white,49333
Sum of hispanic,37488
MT,
Sum of african american,31074
Sum of pacific islander,26786
Sum of american indian,29150
Sum of asian american,51704
Sum of white,48906
Sum of hispanic,36762
NC,
Sum of african american,32798
Sum of pacific islander,39514
Sum of american indian,32544
Sum of asian american,68866
Sum of white,53157
Sum of hispanic,34708
ND,
Sum of african american,29525
Sum of pacific islander,
Sum of american indian,30833
Sum of asian american,44743
Sum of white,59896
Sum of hispanic,43940
NE,
Sum of african american,29967
Sum of pacific islander,46000
Sum of american indian,25739
Sum of asian american,50787
Sum of white,56275
Sum of hispanic,39703
NH,
Sum of african american,50103
Sum of pacific islander,128667
Sum of american indian,37026
Sum of asian american,79577
Sum of white,67262
Sum of hispanic,49749
NJ,
Sum of african american,46546
Sum of pacific islander,53944
Sum of american indian,36941
Sum of asian american,104575
Sum of white,82102
Sum of hispanic,48265
NM,
Sum of african american,38146
