State,AreaName,HS,Bachelors,Masters
AL,Alabama,826272,478812,201997
AK,Alaska,105527,83201,33447
GA,Georgia,1529871,1178186,490540
HI,Hawaii,245959,196010,66155
ID,Idaho,230642,182235,58882
IL,Illinois,1999566,1711787,778362
IN,Indiana,1272879,664747,275285
IA,Iowa,577079,372434,120585
KS,Kansas,425864,374220,150913
KY,Kentucky,788112,386554,196117
LA,Louisiana,870720,451042,158826
ME,Maine,266649,178375,69366
AZ,Arizona,887064,753425,321027
MD,Maryland,905176,826439,478941
MA,Massachusetts,1035769,1049150,572191
MI,Michigan,1722171,1094936,512955
MN,Minnesota,833028,818315,284110
MS,Mississippi,469777,251230,106977
MO,Missouri,1079150,685454,300193
MT,Montana,175079,138099,44936
NE,Nebraska,292881,238158,82229
NV,Nevada,457309,285510,102243
NH,New Hampshire,228481,202048,90834
AR,Arkansas,564438,267741,103397
NJ,New Jersey,1586195,1387201,615746
NM,New Mexico,298130,202298,110788
NY,New York,3080068,2604077,1433296
NC,North Carolina,1469226,1213587,467519
ND,North Dakota,110867,93946,23929
OH,Ohio,2369349,1278763,554000
OK,Oklahoma,670376,405388,143223
OR,Oregon,535540,522634,218853
PA,Pennsylvania,2855340,1535222,702244
PR,Puerto Rico,587669,420722,110715
CA,California,4661300,5002596,1965005
RI,Rhode Island,165067,137505,65026
SC,South Carolina,813461,530349,221384
SD,South Dakota,148025,104728,30862
TN,Tennessee,1176200,696512,274650
TX,Texas,3456053,3054382,1134567
UT,Utah,340490,347460,122889
VT,Vermont,115563,94705,44184
VA,Virginia,1162016,1167357,624786
WA,Washington,910601,986653,401488
WV,West Virginia,442151,152377,69161
CO,Colorado,631548,847977,360853
WI,Wisconsin,1101435,713858,261565
WY,Wyoming,93161,65787,23501
CT,Connecticut,594793,516001,297270
DC,District of Columbia,69678,105880,85795
DE,Delaware,174291,112141,55594
FL,Florida,3491793,2418555,932223
