State,AreaName,Native_Born,Naturalized,Non_Citizen
AL,Alabama,4624413,58697,108527
AK,Alaska,662990,29717,24330
GA,Georgia,8890904,392838,588643
HI,Hawaii,1113629,141775,107544
ID,Idaho,1504208,34957,62931
IL,Illinois,10933064,863945,939742
IN,Indiana,6210398,114953,201415
IA,Iowa,2930814,54514,91853
KS,Kansas,2668214,71844,128438
KY,Kentucky,4218259,54613,96419
LA,Louisiana,4411766,75193,109643
ME,Maine,1269288,25441,21122
AZ,Arizona,5659706,354181,541823
MD,Maryland,4991472,414602,443202
MA,Massachusetts,5487257,539588,498539
MI,Michigan,9208739,318192,304683
MN,Minnesota,4963957,203480,215196
MS,Mississippi,2900657,24097,45050
MO,Missouri,5764816,104072,133408
MT,Montana,985567,11133,9852
NE,Nebraska,1731403,44186,79165
NV,Nevada,2213231,243490,293762
NH,New Hampshire,1234282,40187,35560
AR,Arkansas,2799428,42878,95944
NJ,New Jersey,6761926,1024074,905051
NM,New Mexico,1857184,71352,132352
NY,New York,14767602,2375214,2047527
NC,North Carolina,8978721,257970,500051
ND,North Dakota,693305,8796,14031
OH,Ohio,11008727,239543,237034
OK,Oklahoma,3591143,73902,147999
OR,Oregon,3507062,156212,232480
PA,Pennsylvania,11773282,415491,385028
PR,Puerto Rico,,,
CA,California,27550897,5042643,5347443
RI,Rhode Island,890487,72424,68158
SC,South Carolina,4497469,86989,141419
SD,South Dakota,812882,8951,16479
TN,Tennessee,6130858,113899,201093
TX,Texas,21783521,1523217,2875863
UT,Utah,2632311,89541,153260
VT,Vermont,593620,15202,11454
VA,Virginia,7144024,475897,490704
WA,Washington,5926912,437623,499948
WV,West Virginia,1813996,13887,14478
CO,Colorado,4685828,199542,316230
WI,Wisconsin,5424162,120022,153367
WY,Wyoming,554103,7543,13062
CT,Connecticut,2963002,243086,257075
DC,District of Columbia,544640,36734,54854
DE,Delaware,831756,36393,43770
FL,Florida,15103762,2043507,1832192
